9			
10001 	北京大学		
20			
010101 	哲学 	5 	 680 
020101 	经济学 	5 	 685 
020401 	国贸 	6 	 693 
050201 	英语 	4 	 692
070101 	数学与应用数学 	5	 697
070201 	物理学 	3	 695
080901 	计算机科学与技术 	5	 700
080601 	电气自动化 	4	 694
080201 	机械工程 	7	 693
100201K 	临床医学 	3	 680
130201 	音乐表演 	5	 678
130508 	数字媒体艺术 	5	 679
080204 	采矿工程 	2	 675
080205 	农业工程 	4	 681
080206 	环境科学与工程 	5	 679
080207 	建筑学 	6	 684
020301K 	财政学  	4 	 679
050101 	汉语言文学 	5 	 677
082001 	航空航天工程 	6	 694
082401 	武器系统与工程 	5 	 689
			
10002 	中国人民大学		
20			
010101 	哲学 	5  	679 
020101 	经济学 	5  	681
020401 	国贸 	6 	683
050201 	英语 	4 	685
070101 	数学与应用数学 	5 	687
070201 	物理学 	3 	689
080901 	计算机科学与技术 	5 	691
080601 	电气自动化 	4 	693
080201 	机械工程 	7 	691
100201K 	临床医学 	3 	689
130201 	音乐表演 	5 	687
130508 	数字媒体艺术 	5 	683
080204 	采矿工程 	2 	685
080205 	农业工程 	4 	687
080206 	环境科学与工程 	5 	689
080207 	建筑学 	6 	683
020301K 	财政学  	4  	685
050101 	汉语言文学 	5  	687
082001 	航空航天工程 	6 	689
082401 	武器系统与工程 	5  	689
			
			
			
10003 	清华大学		
20 			
010101 	哲学 	5  	680 
020101 	经济学 	5  	 682 
020401 	国贸 	6 	684
050201 	英语 	4 	686
070101 	数学与应用数学 	5 	688
070201 	物理学 	3 	690
080901 	计算机科学与技术 	5 	692
080601 	电气自动化 	4 	 694
080201 	机械工程 	7 	 693
100201K 	临床医学 	3 	 692
130201 	音乐表演 	5 	 691
130508 	数字媒体艺术 	5 	 690
080204 	采矿工程 	2 	 689
080205 	农业工程 	4 	684
080206 	环境科学与工程 	5 	686
080207 	建筑学 	6 	688
020301K 	财政学  	4  	690
050101 	汉语言文学 	5  	674
082001 	航空航天工程 	6 	686
082401 	武器系统与工程 	5  	688
			
			
			
10004 	北京交通大学		
20 			
010101 	哲学 	5  	665 
020101 	经济学 	5  	667
020401 	国贸 	6 	669
050201 	英语 	4 	671
070101 	数学与应用数学 	5 	673
070201 	物理学 	3 	675
080901 	计算机科学与技术 	5 	677
080601 	电气自动化 	4 	 676
080201 	机械工程 	7 	675
100201K 	临床医学 	3 	674
130201 	音乐表演 	5 	673
130508 	数字媒体艺术 	5 	672
080204 	采矿工程 	2 	671
080205 	农业工程 	4 	669
080206 	环境科学与工程 	5 	667
080207 	建筑学 	6 	665
020301K 	财政学  	4  	663
050101 	汉语言文学 	5  	673
082001 	航空航天工程 	6 	675
082401 	武器系统与工程 	5  	677
			
10005 	北京工业大学		
20 			
010101 	哲学 	5  	659
020101 	经济学 	5  	661
020401 	国贸 	6 	663
050201 	英语 	4 	665
070101 	数学与应用数学 	5 	667
070201 	物理学 	3 	669
080901 	计算机科学与技术 	5 	671
080601 	电气自动化 	4 	673
080201 	机械工程 	7 	 670
100201K 	临床医学 	3 	667
130201 	音乐表演 	5 	664
130508 	数字媒体艺术 	5 	661
080204 	采矿工程 	2 	658
080205 	农业工程 	4 	661
080206 	环境科学与工程 	5 	669
080207 	建筑学 	6 	671
020301K 	财政学  	4  	673
050101 	汉语言文学 	5  	 650
082001 	航空航天工程 	6 	667
082401 	武器系统与工程 	5  	669
			
10006 	北京航空航天大学 		
20 			
010101 	哲学 	5  	659
020101 	经济学 	5  	661
020401 	国贸 	6 	663
050201 	英语 	4 	665
070101 	数学与应用数学 	5 	671
070201 	物理学 	3 	673
080901 	计算机科学与技术 	5 	 670
080601 	电气自动化 	4 	667
080201 	机械工程 	7 	664
100201K 	临床医学 	3 	661
130201 	音乐表演 	5 	 678
130508 	数字媒体艺术 	5 	658
080204 	采矿工程 	2 	661
080205 	农业工程 	4 	669
080206 	环境科学与工程 	5 	671
080207 	建筑学 	6 	673
020301K 	财政学  	4  	 650
050101 	汉语言文学 	5  	658
082001 	航空航天工程 	6 	661
